index,x,y,is_super,final_state,secondary_infections
176,3.848087,3.823647,0,0,0
177,0.000067,7.385513,0,0,0
178,3.446882,9.181641,0,0,0
179,5.961753,1.362140,0,0,0
180,8.620410,6.650475,0,0,0
181,8.104638,0.504967,0,2,2
182,7.607551,0.222065,0,2,2
183,7.358322,7.783125,0,0,0
184,4.148171,6.499799,0,0,0
185,9.814686,6.640021,0,0,0
186,1.488691,5.991678,0,0,0
187,8.903119,2.001219,0,2,1
188,0.298152,5.355399,0,0,0
189,2.225079,5.544769,0,0,0
190,9.772743,5.057913,0,0,0
191,7.077778,4.158834,0,0,0
192,8.001969,3.228536,0,0,0
193,4.325270,7.982947,0,0,0
194,1.586193,4.823526,0,0,0
195,5.930196,8.680979,0,0,0
196,5.379683,0.842034,0,0,0
197,2.497761,5.594506,0,0,0
198,8.059229,5.632953,0,0,0
199,6.959683,7.488467,0,0,0
200,9.685559,3.834550,0,0,0
201,2.762223,1.126882,0,0,0
202,5.055094,2.962966,0,0,0
203,6.009617,1.661702,0,0,0
204,5.515265,2.793474,0,0,0
205,3.687915,6.912557,0,0,0
206,2.046012,6.423224,0,0,0
207,1.715777,3.481176,0,0,0
208,2.607693,8.368381,0,0,0
209,8.408310,0.224621,0,0,0
210,7.502917,4.629787,0,0,0
211,6.888774,5.213451,0,0,0
212,7.803360,5.179836,0,0,0
213,1.054911,3.180641,0,0,0
214,1.479312,3.268301,0,0,0
215,9.726233,3.458845,0,0,0
216,7.445222,2.792730,0,2,0
217,7.962190,8.930364,0,0,0
218,2.429927,6.521521,0,0,0
219,1.750296,1.483281,0,0,0
220,0.709463,9.281334,0,0,0
221,5.983762,8.093057,0,0,0
222,7.515098,2.733670,0,2,0
223,4.894090,8.476767,0,0,0
224,5.194529,6.455626,0,0,0
225,3.005929,6.772910,0,0,0
226,5.859817,7.568293,0,0,0
227,6.151908,5.355657,0,0,0
228,1.353119,2.582547,0,0,0
229,9.402436,7.821164,0,0,0
230,8.981596,0.500152,0,2,1
231,3.646377,3.630343,0,0,0
232,2.714019,2.518656,0,0,0
233,0.658831,7.253020,0,0,0
234,9.558110,6.144905,0,0,0
235,9.533347,3.861625,0,0,0
236,0.278988,1.322208,0,0,0
237,4.911709,1.573853,0,0,0
238,8.268070,2.089205,0,2,1
239,0.872129,2.678817,0,0,0
240,8.966701,2.181022,0,2,1
241,0.156594,9.524638,0,0,0
242,6.611391,3.227847,0,0,0
243,9.543146,1.921232,0,0,0
244,8.426340,3.603196,0,0,0
245,5.463707,5.577639,0,0,0
246,1.661312,4.263036,0,0,0
247,4.753609,7.163027,0,0,0
248,5.036308,1.241900,0,0,0
249,2.398873,5.523195,0,0,0
250,0.794213,6.797696,0,0,0
251,8.974393,7.307463,0,0,0
252,3.462820,3.792662,0,0,0
253,6.642604,5.871365,0,0,0
254,2.060632,7.144931,0,0,0
255,8.135490,5.745835,0,0,0
256,2.326526,2.055269,0,0,0
257,6.881142,3.759071,0,0,0
258,4.818864,3.052961,0,0,0
259,5.755213,5.167621,0,0,0
260,9.011351,4.517828,0,0,0
261,8.059155,2.312107,0,2,0
262,3.484038,6.399462,0,0,0
263,4.016864,3.169101,0,0,0
264,7.507091,6.279289,0,0,0
265,6.100368,2.355743,0,0,0
266,2.683458,2.715519,0,0,0
267,1.553150,9.490680,0,0,0
268,2.608065,0.113135,0,0,0
269,5.836048,9.066923,0,0,0
270,0.362624,2.973246,0,0,0
271,5.811504,8.829836,0,0,0
272,3.388487,8.285260,0,0,0
273,1.172782,9.114368,0,0,0
274,7.368188,2.990317,0,2,1
275,4.077799,7.786091,0,0,0
276,1.063792,0.261377,0,0,0
277,3.333472,4.494539,0,0,0
278,1.363555,1.194079,0,0,0
279,1.184049,2.841880,0,0,0
280,8.372452,5.864827,0,0,0
281,6.982677,8.162314,0,0,0
282,1.800385,6.708821,0,0,0
283,3.895424,0.551625,0,0,0
284,1.777337,1.572167,0,0,0
285,7.492049,0.885368,0,2,1
286,3.661766,8.337040,0,0,0
287,7.048987,9.327577,0,0,0
288,3.820156,1.161024,0,0,0
289,6.237177,6.505916,0,0,0
290,7.374825,3.840999,0,0,0
291,9.919116,2.964608,0,0,0
292,7.439345,4.877631,0,0,0
293,8.383463,9.639625,0,0,0
294,9.411797,5.325039,0,0,0
295,5.921794,9.668488,0,0,0
296,9.038861,9.478637,0,0,0
297,6.542525,4.629484,0,0,0
298,6.351927,9.004559,0,0,0
299,1.021144,0.656160,0,0,0
300,2.794226,1.628702,0,0,0
301,2.588379,9.764869,0,0,0
302,6.570448,4.637697,0,0,0
303,5.172518,4.583188,0,0,0
304,9.482964,4.185714,0,0,0
305,5.748271,2.844602,0,0,0
306,6.304443,0.653218,0,0,0
307,7.404409,3.920804,0,0,0
308,4.324020,7.512396,0,0,0
309,2.585058,3.003323,0,0,0
310,3.722952,6.927721,0,0,0
311,4.598255,3.084738,0,0,0
312,6.789056,5.026580,0,0,0
313,0.164013,6.411364,0,0,0
314,0.657277,2.288546,0,0,0
315,1.973553,5.223782,0,0,0
316,4.985001,0.863191,0,0,0
317,1.674128,0.839973,0,0,0
318,8.371290,6.116621,0,0,0
319,8.133727,5.288070,0,0,0
320,9.441860,7.908845,0,0,0
321,0.072230,0.396771,0,0,0
322,9.381538,1.609277,0,0,0
323,2.447326,4.597409,0,0,0
324,3.899044,3.212040,0,0,0
325,9.937162,7.942577,0,0,0
326,7.169635,8.299820,0,0,0
327,1.782933,7.175835,0,0,0
328,5.339883,5.187572,0,0,0
329,4.135241,6.880667,0,0,0
330,2.478501,8.700058,0,0,0
331,0.827155,0.558697,0,0,0
332,4.955570,0.977577,0,0,0
333,0.943298,1.764990,0,0,0
334,6.449274,1.478529,0,0,0
335,7.427369,2.734357,0,2,3
336,4.350408,6.249476,0,0,0
337,1.242580,9.645563,0,0,0
338,2.282400,4.395266,0,0,0
339,2.978846,3.879095,0,0,0
340,0.668185,7.393270,0,0,0
341,4.454489,0.150126,0,0,0
342,6.165070,7.043148,0,0,0
343,6.580961,3.004908,0,0,0
344,1.568066,2.589930,0,0,0
345,4.531863,8.097836,0,0,0
346,9.510632,2.619656,0,0,0
347,4.129068,9.625814,0,0,0
348,4.811642,5.476213,0,0,0
349,5.091039,6.596625,0,0,0
350,5.920946,0.416237,0,0,0
351,5.583733,4.642244,0,0,0
352,6.103144,1.118725,0,0,0
353,8.778259,6.970091,0,0,0
354,4.817617,3.134154,0,0,0
355,3.942439,6.630574,0,0,0
356,9.385771,3.507247,0,0,0
357,1.898176,8.262944,0,0,0
358,2.507126,0.947520,0,0,0
359,3.406830,6.563662,0,0,0
360,8.955516,6.704989,0,0,0
361,8.356097,2.513506,0,2,2
362,7.572589,0.131839,0,2,0
363,8.977352,5.836640,0,0,0
364,1.785383,6.374703,0,0,0
365,0.518843,2.779607,0,0,0
366,8.609584,7.508921,0,0,0
367,8.486121,2.529276,0,2,0
368,3.689875,3.694278,0,0,0
369,6.568768,0.493779,0,0,0
370,6.976412,7.851814,0,0,0
371,2.267329,1.813245,0,0,0
372,0.057405,7.644771,0,0,0
373,2.099507,5.177029,0,0,0
374,4.901727,2.953488,0,0,0
375,2.512936,8.273949,0,0,0
376,2.316033,0.873106,0,0,0
377,9.540203,2.697123,0,0,0
378,1.586717,9.035560,0,0,0
379,8.039341,9.115736,0,0,0
380,3.690227,4.009698,0,0,0
381,4.590455,3.690362,0,0,0
382,8.236418,9.042066,0,0,0
383,3.146206,9.736926,0,0,0
384,0.710100,2.990322,0,0,0
385,1.355228,7.988112,0,0,0
386,3.610153,1.546575,0,0,0
387,9.853571,1.458275,0,0,0
388,3.095454,5.956673,0,0,0
389,4.167208,1.064549,0,0,0
390,4.125266,5.260033,0,0,0
391,8.692624,9.723317,0,0,0
392,3.340798,5.840711,0,0,0
393,5.026294,1.081554,0,0,0
394,5.923519,2.257245,0,0,0
395,5.119982,7.582314,0,0,0
396,1.842361,2.804680,0,0,0
397,7.322327,1.511822,0,2,0
398,9.822514,2.379415,0,0,0
399,4.034470,6.693320,0,0,0
400,6.113632,7.550462,0,0,0
401,2.755761,3.015658,0,0,0
402,4.347864,8.337013,0,0,0
403,8.340593,2.148386,0,2,0
404,6.096147,2.460844,0,0,0
405,7.860639,8.478553,0,0,0
406,9.116177,4.481800,0,0,0
407,2.801599,5.713826,0,0,0
408,8.284064,7.747161,0,0,0
409,1.351871,4.985808,0,0,0
410,9.204325,5.971029,0,0,0
411,4.511428,7.520566,0,0,0
412,4.666395,3.864359,0,0,0
413,6.654994,2.048791,0,0,0
414,6.847343,8.343256,0,0,0
415,9.019422,7.845324,0,0,0
416,7.933270,5.134861,0,0,0
417,9.769791,9.817348,0,0,0
418,6.188255,7.271230,0,0,0
419,4.926956,0.209058,0,0,0
420,9.320914,7.063872,0,0,0
421,8.739996,7.813610,0,0,0
422,9.091473,6.447584,0,0,0
423,0.400092,8.027428,0,0,0
424,5.699829,2.148856,0,0,0
425,5.640178,4.230940,0,0,0
426,9.972958,1.834890,0,0,0
427,3.540397,6.864815,0,0,0
428,0.207190,1.122240,0,0,0
429,6.645768,9.791091,0,0,0
430,1.443288,9.883553,0,0,0
431,6.343765,8.721093,0,0,0
432,8.699560,0.539652,0,2,2
433,3.903755,2.388429,0,0,0
434,3.387310,6.263971,0,0,0
435,4.990161,0.619781,0,0,0
436,0.951357,5.390499,0,0,0
437,8.517597,5.225430,0,0,0
438,1.023640,1.704336,0,0,0
439,0.073566,3.916925,0,0,0
440,4.115701,3.816538,0,0,0
441,4.232434,3.594987,0,0,0
442,1.369514,3.525040,0,0,0
443,1.664616,9.157844,0,0,0
