index,x,y,is_super,final_state,secondary_infections
176,3.067935,1.811689,0,2,0
177,7.797442,6.052701,0,2,2
178,0.959530,2.044085,1,2,4
179,9.250421,7.519548,0,2,2
180,5.043510,8.661389,0,2,0
181,2.520863,6.919743,0,2,0
182,2.642745,2.232540,0,2,0
183,2.716989,8.015417,1,2,5
184,3.552508,0.392774,0,2,1
185,2.477192,7.465572,0,2,0
186,6.260720,9.906819,0,2,0
187,4.355877,1.914686,0,2,0
188,4.560070,4.332502,0,2,0
189,3.467194,3.789579,0,2,3
190,5.818730,6.448648,0,2,0
191,8.093858,9.455316,0,2,0
192,3.272781,7.712915,0,2,0
193,4.889013,0.201470,0,2,0
194,5.802014,6.092232,0,2,0
195,9.537442,7.352000,0,2,1
196,8.050409,1.070384,0,2,0
197,3.227484,0.060442,0,2,0
198,9.270648,2.567479,0,2,2
199,8.766823,6.718917,0,2,0
200,3.857457,9.019531,0,2,0
201,6.411655,7.237259,0,2,0
202,2.785456,3.146159,0,2,0
203,0.622320,1.683078,0,2,0
204,1.791783,0.440384,0,2,2
205,9.339801,5.009273,0,2,0
206,4.958346,4.111128,0,2,0
207,0.009455,5.006523,0,2,0
208,0.556920,7.455265,0,2,2
209,6.757744,1.944902,0,2,1
210,9.540520,3.264324,0,2,1
211,8.059054,9.634191,0,2,0
212,1.310552,1.549968,0,2,1
213,2.528309,4.380706,0,2,0
214,8.120169,9.229994,1,2,8
215,2.474523,9.268067,0,2,0
216,5.470089,5.611860,0,2,0
217,7.778344,9.917990,0,2,0
218,0.753288,0.740321,0,2,0
219,1.061690,0.717504,1,2,6
220,3.569399,4.781690,1,2,6
221,5.914951,2.270798,0,2,0
222,8.767457,6.907042,1,2,7
223,1.596183,8.923415,0,2,0
224,0.997061,9.357555,0,2,0
225,9.670090,4.478619,0,2,2
226,5.994450,4.204927,0,2,0
227,5.451769,6.361193,0,2,0
228,4.845779,8.685823,0,2,1
229,9.702709,2.595297,0,2,0
230,2.391894,4.331598,1,2,0
231,2.058072,9.587226,0,2,1
232,4.466570,6.030785,0,2,0
233,5.370064,7.871913,1,2,0
234,5.320939,5.341678,0,2,0
235,1.239335,0.718764,0,2,3
236,0.328074,7.776207,0,2,0
237,5.276150,2.997710,0,2,0
238,4.490377,2.552276,0,2,0
239,7.815905,7.305822,0,2,0
240,0.545560,3.173750,1,2,3
241,9.529127,6.043105,0,2,1
242,6.871536,5.727372,0,2,1
243,1.723053,1.958358,0,2,1
244,4.170097,3.080402,0,2,0
245,7.876198,2.279433,1,2,4
246,4.253643,0.602218,1,2,6
247,0.457776,0.483034,0,2,1
248,7.431788,4.607024,1,2,7
249,6.915377,4.218470,0,2,0
250,7.269831,2.814958,1,2,7
251,3.490005,6.985811,0,2,0
252,9.373023,7.951634,0,2,0
253,3.887444,2.285388,0,2,0
254,3.941739,5.445493,1,2,5
255,8.384419,6.308819,0,2,1
256,2.796841,0.985327,0,2,0
257,6.524256,2.708934,0,2,2
258,6.119268,5.479119,0,2,1
259,5.157949,0.701751,1,2,4
260,6.519529,4.798209,0,2,0
261,6.969118,3.962668,0,2,3
262,0.647973,1.822061,0,2,0
263,4.605407,7.445007,0,2,0
264,7.384668,2.968257,0,2,0
265,7.109780,4.432386,0,2,2
266,2.837693,3.208350,0,2,0
267,0.184848,3.247039,0,2,0
268,3.405292,6.866395,0,2,0
269,1.149962,6.653061,1,2,4
270,5.962357,3.051950,0,2,1
271,8.386636,9.298472,1,2,1
272,6.315109,4.446675,1,2,1
273,4.142903,3.652654,0,2,1
274,8.740623,8.377572,0,2,0
275,8.475848,2.961351,0,2,0
276,8.417193,8.135470,0,2,0
277,5.982825,7.891381,0,2,0
278,9.344539,8.689225,0,2,0
279,5.105883,7.001001,0,2,0
280,9.070543,8.083001,1,2,0
281,4.150344,5.305079,1,2,0
282,3.089740,4.566141,0,2,0
283,1.226324,0.583839,0,2,0
284,0.104099,4.715915,0,2,0
285,9.885410,4.739268,0,2,0
286,5.574993,4.174337,1,2,5
287,8.843472,9.545459,0,2,0
288,4.396463,6.823539,1,2,2
289,8.738388,7.143720,0,2,0
290,9.942448,0.720198,1,2,4
291,0.378603,9.468101,0,2,0
292,2.149946,2.647806,0,2,0
293,9.369480,5.642969,0,2,1
294,2.090105,8.698436,1,2,10
295,4.988804,8.310287,0,2,0
296,6.891369,9.131106,1,2,5
297,3.943299,3.339997,0,2,0
298,7.154654,1.260926,0,0,0
299,9.089282,5.393680,0,2,1
300,8.668933,4.811198,0,2,0
301,7.486994,7.416859,0,2,0
302,0.081851,5.730256,0,2,0
303,3.888041,0.796929,1,2,0
304,3.702143,7.132659,1,2,5
305,8.451801,2.990866,0,2,0
306,4.753736,9.646412,0,0,0
307,3.101567,8.249693,0,2,0
308,3.248725,6.587471,0,2,0
309,3.083614,5.275119,0,2,0
310,0.200718,2.582214,1,2,4
311,2.338376,2.783798,0,2,0
312,7.364995,5.050378,0,2,0
313,8.748547,7.428170,1,2,6
314,2.177171,7.623188,1,2,1
315,0.672096,1.485819,0,2,1
316,5.358732,2.771058,1,2,1
317,6.572499,5.858476,0,2,0
318,0.232014,2.674695,0,2,0
319,9.737393,6.075741,1,2,6
320,5.515997,0.857065,0,2,0
321,4.782055,2.623332,0,2,1
322,7.301890,8.286062,1,2,7
323,4.955498,1.731216,1,2,0
324,7.062621,0.372364,0,2,2
325,7.065918,4.664270,0,2,0
326,1.255386,5.894275,0,2,0
327,4.936357,7.416056,0,2,1
328,7.041575,4.727146,0,2,0
329,3.805229,2.157482,0,2,0
330,2.928204,2.413964,1,2,4
331,3.609227,3.097441,0,2,1
332,3.086005,2.312333,0,2,1
333,4.050591,7.298812,0,2,0
334,4.098011,5.399951,0,2,0
335,0.967683,4.632571,1,0,0
336,2.097903,6.297750,0,2,0
337,2.287859,3.295357,0,2,1
338,2.715635,7.405160,0,2,0
339,9.967642,4.104300,0,2,0
340,0.688788,9.942765,0,2,0
341,8.540837,7.470210,1,2,0
342,5.974002,4.822045,0,2,0
343,5.512673,4.610663,0,2,1
344,6.625948,7.794395,1,2,1
345,2.120361,4.249250,0,2,0
346,6.453027,2.602575,0,2,1
347,6.633182,1.111530,0,2,0
348,3.628012,4.649368,0,2,0
349,5.314860,4.311474,0,2,1
350,8.662633,7.123262,0,2,4
351,9.318847,5.353756,0,2,3
352,9.764919,5.641481,0,2,0
353,8.368208,9.041878,0,2,0
354,6.180404,9.107540,0,2,0
355,5.346979,8.863612,0,2,0
356,3.991829,6.558551,1,2,1
357,0.672346,5.295063,0,0,0
358,0.843318,7.778113,0,2,0
359,9.283782,8.135926,0,2,0
360,1.008121,2.296730,0,2,0
361,3.454899,3.785664,1,2,3
362,6.259915,3.751465,1,2,0
363,6.487690,5.260247,1,2,1
364,5.161773,3.038965,0,2,0
365,3.758793,0.329724,0,2,0
366,9.069968,5.420229,0,2,0
367,6.925097,1.069690,0,2,2
368,6.408925,6.447470,1,2,2
369,3.295737,6.367467,0,2,1
370,6.627438,8.097039,0,2,0
371,7.768927,7.890711,0,2,0
372,9.413278,9.284397,0,2,0
373,1.138580,1.688132,0,2,2
374,1.636087,6.245122,0,2,0
375,2.792797,6.107671,0,2,2
376,9.806533,0.685805,1,2,1
377,9.830576,3.187210,0,2,0
378,5.108817,3.463524,1,2,13
379,1.141636,6.711421,0,2,0
380,6.571825,6.484207,1,2,0
381,6.693020,2.834604,0,2,0
